Hank Williams	wn31-11410359-n
Hebrides	wn31-08913450-n
Oligocene	wn31-15150631-n
São Paulo	wn31-08876521-n
Adad	wn31-09538162-n
Victor Francis Hess	wn31-11067516-n
Pompey	wn31-11261844-n
Project Gemini	wn31-05908438-n
Tennessee Williams	wn31-11409476-n
Brest, France	wn31-08954467-n
Yakima, Washington	wn31-09177963-n
Isamu Noguchi	wn31-11229191-n
1 Maccabees	wn31-06472446-n
O. Henry	wn31-11263092-n
Johannes Diderik van der Waals	wn31-11379407-n
Strasbourg	wn31-08957623-n
Hanuman	wn31-09549501-n
The Malay Archipelago	wn31-08860948-n
Burgundy	wn31-08960830-n
Halicarnassus	wn31-09064057-n
Parallel Lives	wn31-06760984-n
Chihuahua (state)	wn31-08760288-n
Montgolfier brothers	wn31-11208113-n
Stephen Vincent Benét	wn31-10864263-n
Surrey	wn31-08905188-n
George S. Kaufman	wn31-11117615-n
Norman conquest of England	wn31-01309227-n
Lahore	wn31-08999798-n
Bastille	wn31-02808769-n
Whitehorse, Yukon	wn31-08849874-n
Yunnan	wn31-08744296-n
Del Rio, Texas	wn31-09166710-n
Merce Cunningham	wn31-10937306-n
Federico Fellini	wn31-10988393-n
Arthur Evans	wn31-10983246-n
Barbary Coast	wn31-08520259-n
Edward Douglass White	wn31-11404286-n
Edward II of England	wn31-10970211-n
Battle of Leuctra	wn31-01286246-n
Laurence Sterne	wn31-11336965-n
Bavaria	wn31-08789429-n
Kura River	wn31-09351054-n
Naha	wn31-08944333-n
Church of the Holy Sepulchre	wn31-03533110-n
Audrey Hepburn	wn31-11063975-n
Joseph Louis Gay-Lussac	wn31-11013094-n
River Thames	wn31-09480150-n
Tacoma, Washington	wn31-09177495-n
Nagoya	wn31-08943528-n
Manila	wn31-09004116-n
Walt Whitman Bridge	wn31-04556562-n
Imogene Coca	wn31-10923165-n
Delaware	wn31-09092618-n
David Ricardo	wn31-11279447-n
Boston	wn31-09118343-n
Gore Vidal	wn31-11386104-n
Paul Dirac	wn31-10956886-n
Charlotte de Rothschild	wn31-11292405-n
Édith Piaf	wn31-11254142-n
Max Bruch	wn31-10887520-n
4.5-Inch Beach Barrage Rocket	wn31-09401090-n
Isoroku Yamamoto	wn31-11421793-n
Galilee	wn31-08811766-n
Ayn Rand	wn31-11273620-n
Cape Trafalgar	wn31-09257960-n
Judah (biblical person)	wn31-11113459-n
United States Constitution	wn31-06546123-n
Praia	wn31-08735927-n
Wilkie Collins	wn31-10924911-n
Ferrara	wn31-08823238-n
Gulf of Bothnia	wn31-09320329-n
Edward VII	wn31-10971451-n
Denali National Park and Preserve	wn31-08621839-n
Typhoid Mary	wn31-11171922-n
Frances Hodgson Burnett	wn31-10892890-n
Elmore Leonard	wn31-11148226-n
Bikini Atoll	wn31-08858288-n
Lake Edward	wn31-09353819-n
Northwestern United States	wn31-08581668-n
Cantabrian Mountains	wn31-09256191-n
Mull	wn31-08914238-n
New York Stock Exchange	wn31-03828491-n
Jaish-e-Mohammed	wn31-08042950-n
Edmond de Goncourt	wn31-11026427-n
Hendrik Petrus Berlage	wn31-10866926-n
Massasoit	wn31-11183572-n
Potsdam Conference	wn31-08345018-n
Ordovician	wn31-15153315-n
New Brunswick	wn31-08843476-n
E. T. A. Hoffmann	wn31-11074665-n
Anthony Comstock	wn31-10925800-n
Darius III	wn31-10942720-n
Alexander R. Todd	wn31-11364544-n
The Guianas	wn31-08967928-n
Louis Jolliet	wn31-11109474-n
Johor	wn31-08986776-n
China	wn31-08740839-n
Francis II, Holy Roman Emperor	wn31-10997538-n
Pope Paul VI	wn31-11246417-n
Minneapolis	wn31-09125491-n
Guadalcanal Campaign	wn31-01282548-n
Jinja, Uganda	wn31-09066277-n
Old World	wn31-08579991-n
Johann Strauss II	wn31-11341423-n
Christopher Isherwood	wn31-11094274-n
James Franck	wn31-10998418-n
Paul Verlaine	wn31-11383159-n
Tampere	wn31-08798232-n
Beira (mythology)	wn31-08993755-n
São Tomé	wn31-09015407-n
Jean Giraudoux	wn31-11021207-n
Rotterdam	wn31-08970680-n
Maximilien de Béthune, Duke of Sully	wn31-11345141-n
American Revolutionary War	wn31-01304577-n
Windward Passage	wn31-09503371-n
Chartres Cathedral	wn31-03013792-n
Douglas Fairbanks	wn31-10985353-n
Sudan	wn31-09051612-n
Fayetteville, Arkansas	wn31-09082211-n
Rudolf Virchow	wn31-11387190-n
Marie Antoinette	wn31-11176538-n
Rosa Parks	wn31-11243386-n
Pope Gregory XII	wn31-11034446-n
Binghamton, New York	wn31-09147255-n
Tel Aviv	wn31-08815692-n
Caloocan	wn31-09004292-n
Fahd of Saudi Arabia	wn31-10985011-n
Carlsbad, New Mexico	wn31-09138138-n
Guglielmo Marconi	wn31-11176112-n
Pluto (mythology)	wn31-09593643-n
Lubumbashi	wn31-08753178-n
Darwin, Northern Territory	wn31-08854050-n
Ufa	wn31-09032348-n
Incheon	wn31-08975913-n
Hablot Knight Browne	wn31-10886325-n
John Vanbrugh	wn31-11378593-n
Nashville, Tennessee	wn31-09164027-n
Kurdufan	wn31-09052466-n
Klamath Falls, Oregon	wn31-09156338-n
Artie Shaw	wn31-11316419-n
Gettysburg Address	wn31-07254210-n
Golan Heights	wn31-08812426-n
Andrei Sakharov	wn31-11298488-n
Holy Grail	wn31-03456853-n
Gustaf V of Sweden	wn31-11040221-n
Harvey Cushing	wn31-10938586-n
David Hartley (philosopher)	wn31-11052999-n
Jengish Chokusu	wn31-09419150-n
Heinrich Böll	wn31-10874223-n
French Indochina	wn31-08749786-n
Ostrava	wn31-08776320-n
Egyptian Islamic Jihad	wn31-08029497-n
Léon Foucault	wn31-10996000-n
Second Boer War	wn31-01305743-n
Ganesha	wn31-09549095-n
Campeche City	wn31-08758450-n
Nammu	wn31-09542883-n
Silver City, New Mexico	wn31-09139148-n
Taymyr Peninsula	wn31-09044502-n
Claude Monet	wn31-11205382-n
Proteus	wn31-09592271-n
Jamaica	wn31-08771562-n
Joe Clark	wn31-10918301-n
Peter Ustinov	wn31-11378060-n
Pope Leo XIII	wn31-11147986-n
William Crookes	wn31-10936257-n
Orinoco	wn31-09402850-n
San Marino	wn31-09014551-n
Chico Marx	wn31-11180851-n
Gertrude Ederle	wn31-10968790-n
Henry VI of England	wn31-11062686-n
Nicholas I of Russia	wn31-11225965-n
Albert A. Michelson	wn31-11198383-n
Reims	wn31-08957367-n
Euclid	wn31-10982294-n
Madeira	wn31-09007929-n
Ralph Waldo Emerson	wn31-10978544-n
Caravaggio	wn31-10901841-n
Seville	wn31-09049459-n
Book of Zephaniah	wn31-06452333-n
Joan Crawford	wn31-10934300-n
Atreus	wn31-09617930-n
Gustav III of Sweden	wn31-11039896-n
Annapolis, Maryland	wn31-09116801-n
Tyrrhenian Sea	wn31-09488092-n
Equatorial Guinea	wn31-08781333-n
Rosario, Santa Fe	wn31-08731238-n
Entebbe	wn31-09066031-n
Charles Lamb	wn31-11135019-n
Luzon	wn31-09003184-n
Jan Swammerdam	wn31-11346149-n
Upper Egypt	wn31-08918229-n
Nut (goddess)	wn31-09535970-n
William Penn	wn31-11248946-n
Apeldoorn	wn31-08969808-n
Edgar Rice Burroughs	wn31-10893980-n
Tasman Sea	wn31-09478176-n
Carl Czerny	wn31-10940118-n
Andrew the Apostle	wn31-10837692-n
Ontario	wn31-08846118-n
Henry Ford	wn31-10994584-n
Alexander von Humboldt	wn31-11085933-n
Porto-Novo	wn31-08777517-n
Calvert Vaux	wn31-11381752-n
Henry Fonda	wn31-10994025-n
Melville Fuller	wn31-11005649-n
New River Gorge Bridge	wn31-03827555-n
Peru–Chile Trench	wn31-09232039-n
Marcel Breuer	wn31-10883313-n
Dhaka	wn31-08868218-n
Book of Nahum	wn31-06451983-n
Taiwan	wn31-08748383-n
Hans Conrad Julius Reiter	wn31-11277687-n
Culiacán	wn31-08760958-n
Alhambra	wn31-02699528-n
Carthage	wn31-08939722-n
Fred Hoyle	wn31-11083304-n
Cape Verde	wn31-08735748-n
Admiralty Island	wn31-09079633-n
Milan	wn31-08827017-n
Hosni Mubarak	wn31-11214577-n
San Juan Mountains	wn31-09446257-n
Batna, Algeria	wn31-08724213-n
Khyber Pass	wn31-09348436-n
Tammy Wynette	wn31-11420700-n
Fromental Halévy	wn31-11043879-n
Archibald Wavell, 1st Earl Wavell	wn31-11397310-n
Song of Songs	wn31-06449494-n
Thomas Paine	wn31-11240826-n
James Cook	wn31-10928065-n
Calliope	wn31-09589449-n
Newcastle upon Tyne	wn31-08899615-n
William Thompson (physician)	wn31-11120250-n
Auguste Comte	wn31-10925986-n
Bernard Lovell	wn31-11161971-n
W. Averell Harriman	wn31-11050021-n
Goliath	wn31-11025968-n
Lenape	wn31-09674223-n
Roald Hoffmann	wn31-11074851-n
City of London	wn31-08894500-n
Perth Township, Walsh County, North Dakota	wn31-08853798-n
Georges Seurat	wn31-11314192-n
Halle (Saale)	wn31-08790931-n
Alexander I of Russia	wn31-10832154-n
Liberation Tigers of Tamil Eelam	wn31-08048776-n
William Rehnquist	wn31-11276755-n
Battle of Philippi	wn31-01293333-n
Brazos River	wn31-09251526-n
Idaho Falls, Idaho	wn31-09104361-n
Cape Town	wn31-09022832-n
Eugène Scribe	wn31-11309989-n
Maharashtra	wn31-08925719-n
Columbia University	wn31-03077836-n
Commodore Barry Bridge	wn31-03081308-n
Luke the Evangelist	wn31-11164594-n
Autonomous Region of Bougainville	wn31-08862563-n
Wrangell–St. Elias National Park and Preserve	wn31-08627698-n
Al-Fatiha	wn31-06473672-n
Boris Godunov	wn31-11023595-n
Andrew Jackson Downing	wn31-10962271-n
New Orleans	wn31-09114481-n
Armed Islamic Group of Algeria	wn31-08032788-n
J. Robert Oppenheimer	wn31-11235899-n
Carl Maria von Weber	wn31-11398457-n
Robert Gray (sea captain)	wn31-11032672-n
Ki (goddess)	wn31-09541917-n
Long Island Sound	wn31-09366328-n
Nunavut	wn31-08844656-n
Najd	wn31-09017612-n
William of Wykeham	wn31-11420226-n
Cimarron River (Canadian River)	wn31-09267878-n
Don Quixote	wn31-09621544-n
St. Augustine, Florida	wn31-09097339-n
Helen Hayes	wn31-11056401-n
Hermann Emil Fischer	wn31-10991689-n
Astarte	wn31-09539458-n
Capella	wn31-09257561-n
Judas Iscariot	wn31-11113664-n
Margaret Thatcher	wn31-11357774-n
Bucharest	wn31-08832326-n
Revised Standard Version	wn31-06461290-n
Chablis	wn31-08955154-n
Friuli-Venezia Giulia	wn31-08824469-n
Richard Rodgers	wn31-11287735-n
Mombasa	wn31-08948706-n
Venice	wn31-08831116-n
Louis the Stammerer	wn31-11159243-n
Durga	wn31-09548880-n
Pyrrhus of Epirus	wn31-11269880-n
Rudolf Bultmann	wn31-10890716-n
Peter O'Toole	wn31-11238463-n
Islet	wn31-09342362-n
Zanzibar	wn31-09057933-n
Wilhelm II, German Emperor	wn31-11406848-n
Kananga	wn31-08752841-n
Mikhail Bakunin	wn31-10851079-n
Lethe	wn31-09361359-n
Fourth Crusade	wn31-00971788-n
Percival Lowell	wn31-11162604-n
Bodhisattva	wn31-09555495-n
Joseph Heller	wn31-11058974-n
Leo Esaki	wn31-10980914-n
Valletta	wn31-08988998-n
Keokuk (Sauk leader)	wn31-11121833-n
Ethan Allen	wn31-10834380-n
Prescott, Arizona	wn31-09081098-n
Lillian Hellman	wn31-11059184-n
Rembrandt	wn31-11277922-n
Maxwell Anderson	wn31-10837211-n
Robert Peary	wn31-11247786-n
Sara Teasdale	wn31-11354210-n
Laos	wn31-08976533-n
Palace of Versailles	wn31-04536781-n
Isthmus of Suez	wn31-09343391-n
Ernest Bloch	wn31-10873009-n
Battle of Brunanburh	wn31-01275574-n
Ellen Terry	wn31-11356539-n
Assault (horse)	wn31-02386877-n
Pierre de Fermat	wn31-10989791-n
Altoona, Pennsylvania	wn31-09157843-n
Mark Rothko	wn31-11292188-n
Death (personification)	wn31-09511389-n
Ernst Haeckel	wn31-11041663-n
Parvati	wn31-09550694-n
Aeschylus	wn31-10828690-n
Orlando, Florida	wn31-09096645-n
Molly Pitcher	wn31-11188208-n
Siraj ud-Daulah	wn31-11323127-n
Book of Baruch	wn31-06470993-n
Worcester, Massachusetts	wn31-09120463-n
Bridgetown	wn31-08773497-n
John von Neumann	wn31-11389030-n
Friedrich Fröbel	wn31-11003754-n
Ogden, Utah	wn31-09170247-n
Prague	wn31-08775759-n
Logroño	wn31-09048869-n
Bel and the Dragon	wn31-06470843-n
Suriname	wn31-09053122-n
Arthur Holmes	wn31-11076794-n
Rigel	wn31-09433243-n
Cape May, New Jersey	wn31-09136915-n
Charlottetown	wn31-08847920-n
Persian Empire	wn31-08932615-n
Battle of Crécy	wn31-01279127-n
Bartholomew Roberts	wn31-11284183-n
Devon	wn31-08902171-n
Edward IV of England	wn31-10970778-n
Henri Matisse	wn31-11184495-n
Iceland	wn31-08973097-n
Menander	wn31-11192919-n
Oslo	wn31-08782902-n
John Wilkes	wn31-11407174-n
Zaragoza	wn31-09050049-n
Calvin Coolidge	wn31-10928671-n
Gwydion	wn31-09532678-n
Gulf of Alaska	wn31-09319843-n
Hibbing, Minnesota	wn31-09125263-n
Kalamazoo, Michigan	wn31-09123833-n
Uncle Sam	wn31-09627519-n
Hindustan	wn31-08922611-n
Chester W. Nimitz	wn31-11227919-n
Kurt Waldheim	wn31-11390649-n
Chiloé Archipelago	wn31-08739119-n
Mendenhall Glacier	wn31-09373819-n
Okeechobee Waterway	wn31-09282652-n
Bering Strait	wn31-09241870-n
Russia	wn31-09028783-n
Horatio Hornblower	wn31-09623613-n
Chao Phraya River	wn31-09264618-n
Hippocratic Oath	wn31-07241818-n
Alexander Wilson	wn31-11412077-n
Battle of Jutland	wn31-01284959-n
Omar Bradley	wn31-10880403-n
Mauritius	wn31-08989835-n
Acadia National Park	wn31-08619593-n
Society Islands	wn31-09012714-n
James Monroe	wn31-11206032-n
Elihu Yale	wn31-11421613-n
Hagia Sophia	wn31-03480241-n
Zuiderzee	wn31-09506649-n
Oliver Heaviside	wn31-11057491-n
George Meade	wn31-11190428-n
Abu Hafs al-Masri Brigades	wn31-08027096-n
Nerva	wn31-11224059-n
Tanzim	wn31-08037538-n
Philip II of France	wn31-11252979-n
Charles Herbert Best	wn31-10869645-n
Bowling Green, Kentucky	wn31-09112089-n
Fort Wayne, Indiana	wn31-09107879-n
John Rupert Firth	wn31-10991256-n
Battle of the Somme	wn31-01298019-n
Honshu	wn31-08940697-n
Gulf of Venice	wn31-09323105-n
Pantalone	wn31-09625784-n
Claude Lévi-Strauss	wn31-11150103-n
Cornell University	wn31-03114001-n
Bulgaria	wn31-08731965-n
B. F. Skinner	wn31-11324456-n
Paul McCartney	wn31-11187942-n
Lynx (web browser)	wn31-06583900-n
Veneto	wn31-08830804-n
George IV of the United Kingdom	wn31-11015588-n
Bangor, Gwynedd	wn31-08915481-n
Kraków	wn31-09005783-n
Isabella Stewart Gardner	wn31-11010505-n
John Rutledge	wn31-11296666-n
Carl Linnaeus	wn31-11153541-n
Lublin	wn31-09006593-n
Simon Marks, 1st Baron Marks of Broughton	wn31-11177412-n
Sagittarius (constellation)	wn31-09441990-n
Aarhus	wn31-08779937-n
Michel Ney	wn31-11225637-n
Pacific coast	wn31-09406686-n
Newfoundland (island)	wn31-08844203-n
Pope Clement VII	wn31-10920944-n
Kandahar	wn31-08722223-n
John Tradescant the elder	wn31-11367669-n
Baruch ben Neriah	wn31-10857057-n
Mungo Park (explorer)	wn31-11242645-n
Chamaeleon	wn31-09263795-n
Gemini (astrology)	wn31-08704233-n
León, Spain	wn31-09048730-n
Samuel Taylor Coleridge	wn31-10924573-n
Louis Pasteur	wn31-11244867-n
Silenus	wn31-09571445-n
Edward Jenner	wn31-11102125-n
Ionia	wn31-09065399-n
Texarkana, Arkansas	wn31-09083085-n
Ceres (dwarf planet)	wn31-09263315-n
Thessaloniki	wn31-08807457-n
Stefan Zweig	wn31-11428143-n
Cyrus the Great	wn31-10939959-n
Erskine Caldwell	wn31-10899116-n
Rwanda	wn31-08832898-n
Ben Shahn	wn31-11315023-n
Elmont, New York	wn31-09146919-n
Thomas Malory	wn31-11172321-n
Battle of Issus	wn31-01284131-n
Ruth Benedict	wn31-10863997-n
Nereus	wn31-09590689-n
Apostolic Palace	wn31-04530675-n
Cape of Good Hope	wn31-09024565-n
John Wayne	wn31-11397707-n
Pope Sixtus IV	wn31-11324134-n
Battle of Lepanto	wn31-01286058-n
Arcadia Aegypti	wn31-08808205-n
Helmut Schmidt	wn31-11305272-n
Aaron Copland	wn31-10929681-n
Beaumont, Texas	wn31-09165942-n
Oedipus	wn31-09620972-n
Kaunas	wn31-09036840-n
Dakota people	wn31-09674079-n
Adolf Eichmann	wn31-10973789-n
Simón Bolívar	wn31-10875200-n
Norfolk Island	wn31-08854180-n
Narcissus (mythology)	wn31-09522469-n
Pope Pius II	wn31-11256842-n
Gwyn ap Nudd	wn31-09532810-n
Northumberland	wn31-08904555-n
Chihuahua City	wn31-08760411-n
John Deere (inventor)	wn31-10946855-n
Robert Owen	wn31-11239111-n
Bismarck Archipelago	wn31-08861811-n
Akron, Ohio	wn31-09153132-n
Basra	wn31-08934186-n
William Holmes McGuffey	wn31-11189125-n
Oscar Robertson	wn31-11284818-n
Apia	wn31-09014122-n
United Self-Defense Forces of Colombia	wn31-08063784-n
Frankfort, Kentucky	wn31-09112196-n
Thomas the Apostle	wn31-11358791-n
Le Corbusier	wn31-11143114-n
Alpha Crucis	wn31-09216811-n
Asunción	wn31-09001037-n
Gilgamesh	wn31-09545972-n
Moro Islamic Liberation Front	wn31-08051052-n
Eastern United States	wn31-08580717-n
Lateran	wn31-08825406-n
Andrew Young	wn31-11423216-n
Ramesses II	wn31-11273238-n
Berkshire	wn31-08901483-n
Overland Campaign	wn31-01302226-n
E. E. Cummings	wn31-10937129-n
Southwestern United States	wn31-08581164-n
NASDAQ	wn31-03815726-n
Muhammad Ali Jinnah	wn31-11105103-n
William and Mary	wn31-08503085-n
Herat	wn31-08721786-n
Sugar Ray Robinson	wn31-11286269-n
Thomas Carlyle	wn31-10902458-n
Quintana Roo	wn31-08763082-n
Lorraine (region)	wn31-08962877-n
Gerardus Mercator	wn31-11195233-n
Tripoli	wn31-08979872-n
Aum Shinrikyo	wn31-08034367-n
Bryce Canyon National Park	wn31-08620714-n
Joseph Paxton	wn31-11247489-n
Nike (mythology)	wn31-09590896-n
Battle of Britain	wn31-01273121-n
Saint Vincent (Antilles)	wn31-09011694-n
Rudolf Hess	wn31-11067696-n
Lot's wife	wn31-10293603-n
Belgrade	wn31-08835270-n
Proxima Centauri	wn31-09423065-n
Dīs Pater	wn31-09593643-n
Eindhoven	wn31-08970422-n
Georg Wilhelm Friedrich Hegel	wn31-11058080-n
Victory over Japan Day	wn31-15187929-n
Luxembourg City	wn31-08981175-n
Brunswick, Maine	wn31-09115650-n
Brigit of Kildare	wn31-10883800-n
Leipzig	wn31-08788949-n
Phrygia	wn31-08719224-n
Green Line (Israel)	wn31-08532123-n
Glorious Revolution	wn31-01306847-n
Iran	wn31-08930441-n
Third Epistle of John	wn31-06459252-n
Avignon	wn31-08954086-n
Plato	wn31-11259261-n
Edna St. Vincent Millay	wn31-11199787-n
Mary Shelley	wn31-11317022-n
Chisholm Trail	wn31-03024610-n
Muriel Spark	wn31-11329608-n
Carl Lewis	wn31-11151125-n
Matthew the Apostle	wn31-11184661-n
Peru	wn31-09001424-n
Clement Attlee	wn31-10847477-n
El Paso, Texas	wn31-09166854-n
Richard Feynman	wn31-10990271-n
Dashiell Hammett	wn31-11046812-n
Nigeria	wn31-08996127-n
Harvard University	wn31-03501874-n
Bahrain Island	wn31-08867413-n
Elmer Ambrose Sperry	wn31-11331006-n
Iago	wn31-09623798-n
Lucrezia Borgia	wn31-10877614-n
Bowery	wn31-09144603-n
Tiber	wn31-09480981-n
Serbia and Montenegro	wn31-08834088-n
Robert E. Lee	wn31-11143580-n
Sophia Loren	wn31-11158170-n
Aalst, Belgium	wn31-08869655-n
Lower Paleolithic	wn31-15257509-n
Italy	wn31-08819530-n
Edward III of England	wn31-10970440-n
Kodiak Island	wn31-09349750-n
Tristan	wn31-10570508-n
Elizabeth II	wn31-10977740-n
Epistle to the Colossians	wn31-06456381-n
Lysippos	wn31-11166397-n
India	wn31-08920762-n
Alec Guinness	wn31-11039265-n
Coventry	wn31-08900094-n
Phaethon	wn31-09593243-n
François Rabelais	wn31-11271215-n
Nanjing	wn31-08745899-n
Turkestan	wn31-08742378-n
Thomas Hunt Morgan	wn31-11210944-n
Battle of Bataan	wn31-01272836-n
St. John's, Antigua and Barbuda	wn31-08728158-n
Columbia, Missouri	wn31-09129124-n
Arthur Balfour	wn31-10852164-n
Melanie Klein	wn31-11127100-n
Rhine	wn31-09431418-n
East Anglia	wn31-08904900-n
Erie people	wn31-09674723-n
Herbert Marcuse	wn31-11176323-n
Randall Jarrell	wn31-11100874-n
Great Rift Valley	wn31-09316246-n
Nusku	wn31-09544530-n
Antwerp	wn31-08869733-n
Mikhail Kutuzov	wn31-11133067-n
Charles Wilkes	wn31-11407055-n
Monica Seles	wn31-11311441-n
Hadrian	wn31-11041338-n
Port of Spain	wn31-08774344-n
Donato Bramante	wn31-10882103-n
Bismarck, North Dakota	wn31-09152399-n
Monterrey	wn31-08762342-n
Jean Monnet	wn31-11205670-n
Barbra Streisand	wn31-11342173-n
Tallinn	wn31-09034900-n
Panama City, Florida	wn31-09096936-n
Great Barrier Reef	wn31-09315254-n
Shem	wn31-10608268-n
Hugo von Hofmannsthal	wn31-11075291-n
Ymir	wn31-09608108-n
Baghdad	wn31-08933966-n
Lady Jane Seymour	wn31-11314670-n
Mars (mythology)	wn31-09578914-n
Sekhmet	wn31-09536565-n
Savannah River	wn31-09447743-n
Biscayne Bay	wn31-09244630-n
Cicero	wn31-10917698-n
Dardanelles	wn31-09063846-n
Skuld	wn31-09606020-n
Saratoga Springs, New York	wn31-09148393-n
Aswan Dam	wn31-02754628-n
Wright brothers	wn31-11418606-n
Republic of the Congo	wn31-08751877-n
Rhodope Mountains	wn31-09431673-n
Adolf Loos	wn31-11158075-n
Saint Paul, Minnesota	wn31-09125985-n
William Henry (chemist)	wn31-11060592-n
Irrawaddy River	wn31-09338776-n
Provence	wn31-08964733-n
Karl Baedeker	wn31-10850599-n
John Dryden	wn31-10963651-n
Muztagh Ata	wn31-09387146-n
Galápagos Islands	wn31-08795200-n
Columbus, Ohio	wn31-09153681-n
Hank Aaron	wn31-10826620-n
Sarasota, Florida	wn31-09097212-n
Bulawayo	wn31-09190445-n
Battle of Saint-Mihiel	wn31-01295660-n
Karelian Isthmus	wn31-09347228-n
Heinrich von Kleist	wn31-11127426-n
Revolutionary Organization 17 November	wn31-08059288-n
C. W. Post	wn31-11263552-n
Blacksburg, Virginia	wn31-09173039-n
Åland Islands	wn31-08798362-n
Kuwait City	wn31-08949328-n
Massachusetts Bay	wn31-09371133-n
October Revolution	wn31-01310499-n
Simpson Desert	wn31-09195531-n
Charles Thomson Rees Wilson	wn31-11411229-n
Alsace	wn31-08959982-n
Peter Simon Pallas	wn31-09406891-n
Yenisei River	wn31-09505460-n
Ferdinand II, Holy Roman Emperor	wn31-10988948-n
Françoise-Athénaïs, marquise de Montespan	wn31-11206675-n
James Van Allen	wn31-11378369-n
Moravia	wn31-08776512-n
Richard II of England	wn31-11280315-n
Johann Joachim Winckelmann	wn31-11412534-n
Vishnu	wn31-09553121-n
George H. W. Bush	wn31-10895055-n
Horace	wn31-11080411-n
Sunderland, Tyne and Wear	wn31-08900940-n
World War I	wn31-01314011-n
Thomas Wentworth Higginson	wn31-11069603-n
São Gonçalo, Rio de Janeiro	wn31-08875937-n
Arthur Honegger	wn31-11077674-n
William Wordsworth	wn31-11417652-n
Jonathan Trumbull	wn31-11370509-n
Eiffel Tower	wn31-03271817-n
Leir of Britain	wn31-09624223-n
Andrei Voznesensky	wn31-11389439-n
Stéphane Mallarmé	wn31-11171788-n
Antonín Dvořák	wn31-10966953-n
Willard Van Orman Quine	wn31-11270981-n
Clemence Sophia Harned Lozier	wn31-11163153-n
William Herschel	wn31-11065893-n
Allen Ginsberg	wn31-11020656-n
Trinity River (Texas)	wn31-09485179-n
James Bowie	wn31-10879453-n
Bordeaux	wn31-08954305-n
Eros	wn31-09583025-n
Wild Bill Hickok	wn31-11069438-n
Belém	wn31-08873847-n
Leonidas I	wn31-11148663-n
Sylhet	wn31-08721930-n
Japanese Red Army	wn31-08043657-n
Timur	wn31-11350021-n
Lakshmi	wn31-09550225-n
Galeras	wn31-09198219-n
George Eastman	wn31-10967620-n
Seychelles	wn31-09018654-n
Robert the Bruce	wn31-10887060-n
Quaternary	wn31-15149497-n
Anton Bruckner	wn31-10887612-n
Clichy, Hauts-de-Seine	wn31-08953210-n
Charles Laughton	wn31-11139051-n
Andrew Jackson	wn31-11095813-n
Antonio López de Santa Anna	wn31-11300895-n
Sfax	wn31-09060747-n
Mysore	wn31-08924699-n
The Dakotas	wn31-09075475-n
Sambre	wn31-09444069-n
Iris Murdoch	wn31-11216754-n
North Atlantic Treaty	wn31-06787887-n
Kiri Te Kanawa	wn31-11354768-n
Hugo de Vries	wn31-10952246-n
Florence, South Carolina	wn31-09161391-n
Brindisi	wn31-08825746-n
Aberdeen, Washington	wn31-09176333-n
Anatoly Karpov	wn31-11116981-n
Owain Glyndŵr	wn31-11022036-n
Frederick I of Prussia	wn31-11000093-n
Liliuokalani	wn31-11151971-n
Charles Dudley Warner	wn31-11394584-n
James Merritt Ives	wn31-11095442-n
Tombigbee River	wn31-09482687-n
Daniel Morgan	wn31-11210582-n
Roger Fry	wn31-11004253-n
Donetsk	wn31-09038469-n
Annaba	wn31-08724061-n
Baja California Peninsula	wn31-09366667-n
Churchill, Manitoba	wn31-08843315-n
Mexican Revolution	wn31-01308287-n
Concord, Massachusetts	wn31-09119495-n
Bill Clinton	wn31-10922343-n
Armageddon	wn31-08523953-n
Rhea (mythology)	wn31-09599516-n
Ningishzida	wn31-09543887-n
Iraq	wn31-08933207-n
Buzzards Bay	wn31-09253268-n
Sinai Peninsula	wn31-08916891-n
Kama Sutra	wn31-06636295-n
Oswald Veblen	wn31-11381908-n
Samoa	wn31-09013552-n
Andrei Gromyko	wn31-11037114-n
Zurvanism	wn31-10826216-n
Mary I of England	wn31-11181654-n
Edgar Degas	wn31-10947438-n
Hermann, Fürst von Pückler-Muskau	wn31-10842390-n
Ferdinand von Zeppelin	wn31-11426137-n
Beverly Hills, California	wn31-09085261-n
Lernaean Hydra	wn31-09519392-n
Siegfried Line	wn31-04223575-n
Scottish Lowlands	wn31-08912116-n
Charles Frederick Worth	wn31-11417880-n
Adam Smith	wn31-11325253-n
Len Hutton	wn31-11089420-n
Quebec	wn31-08848063-n
Isle Royale National Park	wn31-08623762-n
Pope Leo III	wn31-11147409-n
Pocatello, Idaho	wn31-09104689-n
Staffa	wn31-08914360-n
Adam	wn31-09609728-n
Liguria	wn31-08826144-n
Eris (mythology)	wn31-09578520-n
Durham, North Carolina	wn31-09151209-n
Dean Martin	wn31-11179688-n
Bronisław Malinowski	wn31-11171569-n
Hadrian's Wall	wn31-08907041-n
Morgantown, West Virginia	wn31-09179437-n
Oscar Wilde	wn31-11406341-n
Louis Kahn	wn31-11115897-n
Zion National Park	wn31-08628367-n
Mary Martin	wn31-11179809-n
Book of Obadiah	wn31-06451382-n
Louis Néel	wn31-11222571-n
United States Mint	wn31-04517751-n
Guantánamo	wn31-08768819-n
Sulla	wn31-11344085-n
Genghis Khan	wn31-11014304-n
John Suckling (poet)	wn31-11343443-n
Éamon de Valera	wn31-10951995-n
Coast Mountains	wn31-09271383-n
Evening Prayer (Anglican)	wn31-06468429-n
Ethel Waters	wn31-11396064-n
Esther	wn31-10981364-n
